v,e,nrOp
100,1000,1347
100,1100,1441
100,1200,1567
100,1300,1667
100,1400,1767
100,1500,1875
100,1600,1975
100,1700,2083
100,1800,2186
100,1900,2293
100,2000,2393
100,2100,2495
100,2200,2595
100,2300,2695
100,2400,2806
100,2500,2923
100,2600,3050
100,2700,3169
100,2800,3269
100,2900,3369
100,3000,3469
100,3100,3569
100,3200,3669
100,3300,3781
100,3400,3871
100,3500,3971
100,3600,4071
100,3700,4171
100,3800,4271
100,3900,4367
100,4000,4461
100,4100,4561
100,4200,4661
100,4300,4761
100,4400,4852
100,4500,4932
100,4600,5032
100,4700,5132
100,4800,5232
100,4900,5386
100,5000,5500
