n,nrOp
100,6505
200,13125
300,21045
400,27125
500,32945
600,43005
700,48815
800,54525
900,60705
1000,66835
1100,77110
1200,84790
1300,91835
1400,99360
1500,102770
1600,109840
1700,115335
1800,119605
1900,127925
2000,133545
2100,144130
2200,156420
2300,166180
2400,169430
2500,178760
2600,185085
2700,191860
2800,196575
2900,201815
3000,207315
3100,213250
3200,218105
3300,225090
3400,230000
3500,236855
3600,244400
3700,248510
3800,253760
3900,261425
4000,266735
4100,277295
4200,290250
4300,305865
4400,312110
4500,321000
4600,327055
4700,338055
4800,339750
4900,348965
5000,354920
5100,361185
5200,369280
5300,375050
5400,378315
5500,386130
5600,389035
5700,393510
5800,404120
5900,411075
6000,417445
6100,421875
6200,426495
6300,430210
6400,438915
6500,440530
6600,453245
6700,455360
6800,459060
6900,469205
7000,472965
7100,481495
7200,485850
7300,492980
7400,500580
7500,508465
7600,504015
7700,514035
7800,520640
7900,526285
8000,535560
8100,540335
8200,549970
8300,567100
8400,577295
8500,594870
8600,611485
8700,623025
8800,626355
8900,632775
9000,641150
9100,647665
9200,658425
9300,666565
9400,670335
9500,677070
9600,683285
9700,693720
9800,700925
9900,710475
10000,707050
